,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
21,21,22,22,Apr 26,,SEA,"W,5-2",9.0,7,2,2,0,1,6,2,1,4.13,36,161,109,0.0,0.0,0,0,34,0,0,0,0,0,0,0,4,Lance Barrett,"J.Urquidy (4-56-W), B.Abreu (3-H), R.Stanek (2-H), R.Pressly (2-Sv)"
22,22,23,23,Apr 27,,SEA,"W,2-0",9.0,2,0,0,0,3,9,0,0,3.95,30,132,82,0.0,0.0,0,0,27,1,0,0,0,0,0,1,3,Tim Timmons,"C.Javier (4-76-W), B.Raley (1-H), R.Pressly (0-Sv)"
23,23,24,24,Apr 28,,SEA,"W,7-5",9.0,7,5,5,0,2,10,2,1,3.99,36,154,89,0.0,0.0,0,1,33,3,0,0,0,0,0,0,4,Kyle McCrady,"Z.Greinke (4-41), B.Bielak (6), J.Smith (5-W), R.Stanek (1-Sv)"
24,24,25,25,Apr 29,,SEA,"L,0-1",9.0,4,1,1,0,1,9,1,0,3.87,32,126,81,0.0,0.0,0,0,31,1,0,0,0,0,0,0,4,Alfonso Marquez,"L.Garcia (3-63-L), B.Abreu (2), B.Raley (1), J.Smith (0)"
25,25,26,26,Apr 30,@,TBR,"W,9-2",9.0,6,2,2,0,5,12,0,0,3.8,37,150,95,0.0,0.0,0,1,32,1,0,0,0,0,0,0,3,Sean Barber,"L.McCullers (4-77-W), K.Emanuel (5), A.Scrubb (99)"
26,27,27,27,May 1,@,TBR,"W,3-1",9.0,5,1,1,0,2,7,0,0,3.69,34,129,91,0.0,0.0,0,0,32,0,0,0,0,0,0,0,3,Chad Fairchild,"J.Urquidy (4-73-W), B.Raley (1-H), R.Pressly (3-Sv)"
27,28,28,28,May 2,@,TBR,"L,4-5",8.0,7,5,4,1,2,11,1,3,3.72,36,156,93,2.0,1.0,1,0,31,1,0,0,0,0,0,1,5,Brian Gorman,"C.Javier (4-49), B.Abreu (2-BSv), B.Raley (0-L), R.Stanek (3), K.Emanuel (1)"
28,29,29,29,May 4,@,NYY,"L,3-7",8.0,9,7,6,1,9,8,1,0,3.81,41,179,101,2.0,2.0,1,0,32,1,0,0,0,0,0,1,5,Jose Navas,"Z.Greinke (5-44), B.Bielak (5-L), B.Abreu (1), A.Scrubb (3), J.Smith (4)"
29,30,30,30,May 5,@,NYY,"L,3-6",8.0,9,6,6,0,5,11,1,2,3.9,39,168,96,4.0,3.0,0,0,31,2,0,0,0,1,0,1,5,Jeremie Rehak,"L.Garcia (5-54), R.Stanek (2), B.Abreu (0), B.Raley (2-L), J.Smith (0)"
30,31,31,31,May 6,@,NYY,"W,7-4",9.0,9,4,4,0,4,11,2,0,3.9,38,153,94,0.0,0.0,0,0,34,1,0,0,0,0,0,2,3,Dan Iassogna,"L.McCullers (5-52), A.Scrubb (1-W), R.Pressly (4-Sv)"
31,32,32,32,May 7,,TOR,"W,10-4",9.0,6,4,4,0,2,2,3,0,3.91,34,114,80,0.0,0.0,0,1,32,1,0,0,0,0,0,0,2,Andy Fletcher,"J.Urquidy (5-62-W), K.Emanuel (4)"
32,33,33,33,May 8,,TOR,"L,4-8",9.0,5,8,5,3,5,10,3,0,3.94,38,157,96,3.0,2.0,0,0,33,1,0,0,0,0,1,0,5,Jose Navas,"C.Javier (5-44-L), A.Scrubb (1), B.Abreu (2), B.Raley (2), J.Smith (2)"
33,34,34,34,May 9,,TOR,"W,7-4",9.0,11,4,4,0,0,11,1,0,3.94,36,150,99,1.0,0.0,0,0,36,2,0,0,0,0,0,1,6,Jeremie Rehak,"Z.Greinke (4-32), B.Abreu (0-W), K.Emanuel (1-H), R.Stanek (3-H), A.Scrubb (0-H), R.Pressly (2-Sv)"
34,35,35,35,May 10,,LAA,"L,4-5",9.0,9,5,5,0,5,11,2,0,3.97,42,163,107,3.0,0.0,3,0,35,3,0,0,2,0,0,0,5,Alan Porter,"L.Garcia (4-51), B.Bielak (5-BL), B.Raley (1), J.Smith (1), K.Emanuel (0)"
35,36,36,36,May 11,,LAA,"W,5-1",9.0,3,1,1,0,2,10,1,0,3.89,30,108,72,0.0,0.0,0,1,28,0,0,0,0,0,1,2,2,Mark Wegner,"L.McCullers (4-79-W), R.Pressly (1)"
36,37,37,37,May 12,,LAA,"W,9-1",9.0,6,1,1,0,1,6,0,0,3.81,34,125,97,2.0,1.0,0,0,32,1,0,0,0,1,0,0,4,Chris Guccione,"J.Urquidy (4-61), B.Bielak (1-W), A.Scrubb (2), J.Smith (1)"
37,38,38,38,May 13,,TEX,"W,4-3",11.0,4,3,3,0,6,12,1,0,3.77,42,166,96,0.0,0.0,0,0,35,0,0,0,0,1,0,1,5,Ramon De Jesus,"C.Javier (4-61), R.Stanek (3), R.Pressly (1), B.Abreu (3), B.Raley (2-W)"
38,39,39,39,May 14,,TEX,"W,10-4",9.0,9,4,4,0,1,5,1,0,3.77,35,130,84,0.0,0.0,0,0,33,3,0,0,0,1,0,2,3,Alan Porter,"Z.Greinke (4-55-W), K.Emanuel (3), J.Smith (1)"
39,40,40,40,May 15,,TEX,"W,6-5",9.0,9,5,5,0,4,7,1,0,3.8,39,164,100,1.0,1.0,0,0,34,0,1,0,0,1,0,1,5,Mark Wegner,"L.Garcia (4-56-W), B.Abreu (1-H), R.Stanek (1), B.Bielak (2-H), R.Pressly (1-Sv)"
40,41,41,41,May 16,,TEX,"W,6-2",9.0,8,2,2,0,2,11,1,0,3.76,35,143,87,0.0,0.0,0,0,33,1,0,0,0,0,0,2,4,Chris Guccione,"L.McCullers (4-65), A.Scrubb (3-BSv), B.Raley (2-W), E.Paredes (37)"
41,42,42,42,May 18,@,OAK,"L,5-6",8.2,8,6,6,0,6,10,3,0,3.82,39,149,81,5.0,1.0,0,0,31,2,0,1,0,2,0,1,5,Ramon De Jesus,"C.Javier (4-58), E.Paredes (1-H), A.Scrubb (1-H), R.Stanek (2-BSv), B.Abreu (2-L)"
42,43,43,43,May 19,@,OAK,"W,8-1",9.0,4,1,1,0,0,10,0,0,3.75,31,111,77,0.0,0.0,0,0,31,1,0,0,0,0,1,1,2,Nestor Ceja,"Z.Greinke (4-78-W), K.Emanuel (4)"
