,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
67,69,68,68,Jun 16,,TBD,"L,1-4",9.0,11,4,4,0,4,3,0,0,4.34,39,138,84,0.0,0.0,0,0,35,2,0,0,0,0,0,2,4,Joe Brinkman,"M.Tejera (4-62), B.Looper (1), A.Almanza (3-BL), V.Núñez (1)"
68,70,69,69,Jun 18,,CLE,"W,4-0",9.0,4,0,0,0,3,4,0,2,4.28,32,108,66,1.0,0.0,0,1,27,0,0,0,0,0,0,3,3,Jerry Layne,"R.Dempster (5-66-W), B.Looper (1-H), V.Núñez (1)"
69,71,70,70,Jun 19,,CLE,"W,2-1",9.0,5,1,1,0,4,8,0,1,4.23,36,142,85,0.0,0.0,0,0,30,1,0,0,1,0,0,1,4,Hunter Wendelstedt,"J.Tavarez (4-67-W), A.Almanza (2-H), B.Looper (0-H), V.Núñez (0-Sv)"
70,72,71,71,Jun 20,,CLE,"W,3-0",6.0,2,0,0,0,4,3,0,0,4.19,23,103,62,,,1,0,19,1,0,0,0,0,0,1,1,Mike DiMuro,A.Burnett (4-67-W)
71,73,72,72,Jun 21,,DET,"W,4-1",9.0,2,1,1,0,2,6,1,1,4.15,31,118,77,0.0,0.0,0,1,28,1,0,1,0,0,0,0,3,Mike Fichter,"M.Tejera (4-72-W), B.Looper (1-H), V.Núñez (1-Sv)"
72,74,73,73,Jun 22,,DET,"W,5-4",9.0,9,4,3,1,5,11,0,0,4.13,41,146,91,0.0,0.0,0,0,35,2,1,1,0,1,1,1,4,CB Bucknor,"H.Izquierdo (11-32), K.Olsen (10), V.Darensbourg (11), B.Neal (9-W)"
73,75,74,74,Jun 23,,DET,"L,2-3",9.0,5,3,2,1,4,12,1,1,4.1,38,148,96,2.0,0.0,0,0,33,0,0,0,0,0,0,0,3,Mark Carlson,"R.Dempster (4-71), A.Almanza (3-L), B.Looper (1)"
74,76,75,75,Jun 24,,PHI,"L,4-15",9.0,17,15,14,1,5,3,3,1,4.23,50,188,117,3.0,3.0,0,0,43,6,0,0,1,0,1,1,4,Bill Hohn,"J.Tavarez (4-32-L), H.Izquierdo (1), B.Neal (1), V.Darensbourg (1)"
75,77,76,76,Jun 25,,PHI,"L,6-7",11.0,13,7,7,0,6,7,1,1,4.26,53,235,129,0.0,0.0,2,0,44,1,0,1,0,2,0,0,5,Larry Young,"A.Burnett (4-45), A.Almanza (1), B.Looper (1), V.Núñez (3-BSv), V.Darensbourg (0-L)"
76,78,77,77,Jun 26,,PHI,"W,6-2",9.0,6,2,2,0,6,7,1,0,4.23,38,164,96,0.0,0.0,0,0,32,3,0,0,0,0,0,1,4,Fieldin Culbreth,"M.Tejera (4-53-W), B.Neal (1), B.Looper (0), A.Almanza (0)"
