,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
32,33,33,33,May 8,@,CHC,"W,5-4",38,32,5,11,1,0,0,4,4,0,5,1,0,1,0,3,0,1,0.259,0.324,0.388,0.712,6,15,R,C.Villanueva(47)
33,34,34,34,May 10,,COL,"W,3-0",37,33,3,10,1,0,1,3,3,0,7,0,0,1,0,0,0,0,0.26,0.324,0.389,0.714,10,9,R,J.Garland(43)
34,35,35,35,May 11,,COL,"W,3-0",39,35,3,13,0,1,0,3,3,0,10,0,0,1,0,1,0,0,0.264,0.327,0.391,0.717,12,10,R,J.Chacin(45)
35,36,36,36,May 12,,COL,"L,2-8",36,32,2,6,2,0,0,2,3,0,9,0,0,1,0,0,0,0,0.262,0.325,0.387,0.712,7,17,L,J.De La Rosa(77)
36,37,37,37,May 13,,NYM,"W,6-3",37,31,6,11,3,0,1,6,4,0,4,0,1,1,0,1,1,0,0.264,0.327,0.391,0.718,7,15,R,J.Hefner(48)
37,38,38,38,May 14,,NYM,"W,10-4",42,36,10,11,1,0,2,10,6,0,7,0,0,0,1,0,0,0,0.265,0.33,0.394,0.723,8,15,R,D.Gee(24)
38,39,39,39,May 15,,NYM,"W,4-2",34,30,4,6,1,0,0,3,4,1,5,0,0,0,0,0,0,0,0.264,0.329,0.39,0.719,6,16,R,S.Marcum(56)
39,40,40,40,May 16,,NYM,"L,2-5",35,33,2,8,3,0,0,2,2,0,4,0,0,0,0,2,0,0,0.263,0.328,0.389,0.717,6,15,L,J.Niese(59)
40,41,41,41,May 17,,MIL,"W,7-6",38,37,7,13,1,0,1,7,1,0,8,0,0,0,0,0,0,0,0.266,0.329,0.391,0.719,7,13,R,W.Peralta(24)
41,42,42,42,May 18,,MIL,"L,4-6",45,38,4,10,2,0,0,4,6,1,8,0,1,0,0,1,0,0,0.265,0.33,0.389,0.718,11,17,R,M.Estrada(37)
