,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
21,22,22,Apr 30,@,NYM,"W,4-1",9.0,4,1,0,1,8,8,0,0,3.89,41,180,104,6.0,0.0,0,0,33,0,0,0,0,0,0,0,6,Jansen Visconti,"K.Gibson (4-55), J.Alvarado (2), J.Norwood (1-W), S.Domínguez (2-H), J.Familia (2-H), C.Knebel (2-Sv)"
22,23,23,May 1,@,NYM,"L,6-10",8.0,15,10,8,2,1,8,0,1,4.09,41,160,103,6.0,5.0,0,0,39,4,0,1,0,0,1,0,5,Jerry Meals,"Z.Eflin (4-27-L), J.Alvarado (0), B.Hand (2), J.Norwood (0), C.Sánchez (7)"
23,24,24,May 3,,TEX,"L,4-6",9.0,9,6,3,3,2,10,2,0,4.05,39,158,103,2.0,2.0,0,0,37,1,0,0,0,0,1,0,4,David Rackley,"R.Suárez (5-40-L), S.Domínguez (2), N.Nelson (3), A.Bellatti (4)"
24,25,25,May 4,,TEX,"L,1-2",10.0,7,2,1,1,3,9,0,1,3.9,37,114,80,0.0,0.0,2,1,33,1,0,0,0,0,0,2,4,Larry Vanover,"Z.Wheeler (5-73), J.Alvarado (2), C.Knebel (3), B.Hand (2-L)"
25,26,26,May 5,,NYM,"L,7-8",9.0,11,8,8,0,1,9,2,0,4.07,39,140,98,2.0,2.0,0,0,38,3,0,0,0,0,0,0,4,Phil Cuzzi,"A.Nola (5-73), J.Familia (4), J.Norwood (3), C.Knebel (0-BL)"
26,27,27,May 8(1),,NYM,"W,3-2",9.0,6,2,2,0,3,10,0,0,3.99,33,134,81,0.0,0.0,0,0,30,2,0,0,0,0,0,3,4,Cory Blaser,"K.Gibson (7-55-W), S.Domínguez (4-H), J.Alvarado (3-H), C.Knebel (2-Sv)"
27,28,28,May 8(2),,NYM,"L,1-6",9.0,8,6,6,0,5,9,2,1,4.06,41,171,96,1.0,0.0,0,0,35,1,0,0,0,0,1,0,6,Shane Livensparger,"C.Sánchez (6-46-L), N.Nelson (4), A.Bellatti (4), C.Brogdon (24), B.Hand (3), J.Norwood (2)"
28,29,29,May 9,@,SEA,"W,9-0",9.0,4,0,0,0,3,12,0,1,3.92,34,139,88,0.0,0.0,0,0,30,1,0,0,0,0,0,1,3,Bill Miller,"R.Suárez (5-69-W), F.Morales (99), J.Norwood (0)"
29,30,30,May 10,@,SEA,"L,4-5",8.0,11,5,4,1,3,10,0,1,3.94,40,157,101,2.0,2.0,0,0,35,1,0,0,0,1,1,0,4,Doug Eddings,"A.Nola (4-37-L), B.Hand (1), J.Familia (4), A.Bellatti (1)"
30,31,31,May 11,@,SEA,"W,4-2",9.0,8,2,2,0,2,10,0,0,3.87,37,144,93,4.0,1.0,1,0,35,3,0,0,0,0,0,0,5,Brian Knight,"B.Falter (15-54), S.Domínguez (2-W), J.Alvarado (2-H), J.Familia (0-H), C.Knebel (2-Sv)"
