,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
32,33,33,May 12,@,BAL,"L,2-5",8.0,12,5,5,0,1,7,1,0,3.55,37,129,88,0.0,0.0,0,0,35,3,0,0,0,1,1,0,5,Joe West,"R.Rowland-Smith (5-34-L), I.Snell (5), S.White (6), J.Colome (4), K.Texeira (4)"
33,34,34,May 13,@,BAL,"L,5-6",8.0,8,6,6,0,3,9,2,0,3.64,35,131,82,0.0,0.0,0,0,32,1,0,0,0,0,0,1,2,Angel Hernandez,"F.Hernandez (5-68), B.League (1-L)"
34,35,35,May 14,@,TBR,"W,4-3",9.0,6,3,3,0,4,9,1,0,3.62,36,149,97,0.0,0.0,0,0,32,1,0,0,0,0,0,1,4,Wally Bell,"D.Fister (5-54-W), K.Texeira (1-H), S.Kelley (4-H), D.Aardsma (5-Sv)"
35,36,36,May 15,@,TBR,"L,2-3",8.0,6,3,3,0,3,2,1,0,3.61,32,121,71,5.0,2.0,1,0,27,0,0,1,1,1,0,1,4,Laz Diaz,"J.Vargas (5-61), B.League (1-H), S.White (2-BSv), J.Colome (2-L)"
36,37,37,May 16,@,TBR,"L,1-2",8.0,5,2,2,0,1,10,0,0,3.58,32,109,79,,,1,0,29,4,1,0,0,1,1,0,1,John Hirschbeck,C.Lee (4-73-L)
37,38,38,May 17,@,OAK,"L,4-8",8.0,15,8,8,0,0,7,2,0,3.71,37,110,79,1.0,0.0,2,0,36,3,1,0,0,1,1,3,4,Tim Welke,"R.Rowland-Smith (4-13-L), I.Snell (4), J.Colome (1), S.White (1)"
38,39,39,May 18,@,OAK,"L,5-6",9.2,16,6,6,0,6,10,0,1,3.76,49,196,115,6.0,2.0,1,1,41,4,0,1,0,1,0,0,5,Jim Reynolds,"F.Hernandez (4-42), K.Texeira (3), S.White (0-BSv), S.Kelley (3), B.League (2-L)"
39,40,40,May 19,,TOR,"L,2-3",9.0,6,3,3,0,1,7,0,1,3.74,35,123,79,0.0,0.0,0,0,32,3,0,0,0,1,0,0,2,Adrian Johnson,"D.Fister (4-64-L), D.Aardsma (4)"
40,41,41,May 20,,TOR,"W,4-3",9.0,5,3,3,0,3,3,1,0,3.72,33,126,80,2.0,0.0,0,0,29,1,0,1,0,1,0,2,3,Tim McClelland,"J.Vargas (4-52), K.Texeira (1), S.Kelley (1-W)"
41,42,42,May 21,,SDP,"W,15-8",9.0,15,8,7,1,0,10,0,0,3.8,44,155,109,2.0,2.0,0,0,43,6,0,0,0,1,1,0,3,Tim Welke,"C.Lee (4-28-W), J.Colome (3), B.League (2)"
42,43,43,May 22,,SDP,"L,1-2",9.0,7,2,2,0,3,6,1,0,3.76,38,134,89,0.0,0.0,0,0,35,4,0,1,0,0,0,0,4,Jim Reynolds,"I.Snell (4-55-L), K.Texeira (1), S.Kelley (1), B.League (0)"
43,44,44,May 23,,SDP,"L,1-8",9.0,12,8,7,1,2,6,0,0,3.83,41,148,93,3.0,3.0,2,0,37,3,0,0,1,1,0,0,4,Bill Welke,"F.Hernandez (4-58-L), J.Colome (1), K.Texeira (0), R.Rowland-Smith (5)"
44,45,45,May 25,,DET,"W,5-3",9.0,9,3,2,1,1,3,1,0,3.79,37,132,86,0.0,0.0,0,0,36,1,0,0,0,0,1,0,3,Marty Foster,"D.Fister (5-50), S.Kelley (2-W), D.Aardsma (5-Sv)"
45,46,46,May 26,,DET,"W,5-4",9.0,10,4,2,2,2,7,1,0,3.75,39,165,107,1.0,1.0,1,0,37,3,0,0,0,0,1,0,4,Gary Cederstrom,"J.Vargas (5-46), R.Rowland-Smith (2), B.League (3-W), D.Aardsma (0-Sv)"
46,47,47,May 28,@,LAA,"W,8-3",9.0,5,3,2,1,2,10,0,0,3.72,35,127,84,0.0,0.0,0,0,33,1,0,0,0,0,0,0,2,Brian Knight,"C.Lee (6-72-W), S.Kelley (2)"
47,48,48,May 29,@,LAA,"L,1-5",9.1,8,5,4,1,4,7,2,1,3.72,41,134,85,1.0,0.0,1,0,36,2,0,1,0,0,1,1,2,Greg Gibson,"F.Hernandez (5-70), B.League (2-L)"
48,49,49,May 30,@,LAA,"L,7-9",8.1,10,9,8,1,9,5,3,0,3.81,43,182,103,5.0,2.0,1,1,33,1,0,0,0,0,0,0,5,Sam Holbrook,"I.Snell (7-39), J.Colome (6), K.Texeira (6), S.Kelley (1-H), D.Aardsma (3-BL)"
49,50,50,May 31,,MIN,"L,4-5",9.0,10,5,5,0,0,6,3,0,3.84,35,107,78,2.0,0.0,0,0,35,3,0,0,0,0,0,2,3,Dale Scott,"D.Fister (5-49-L), R.Rowland-Smith (4), B.League (1)"
50,51,51,Jun 1,,MIN,"W,7-1",9.0,6,1,1,0,3,3,1,0,3.78,35,131,86,0.0,0.0,1,0,32,1,0,0,0,0,0,1,3,Jerry Meals,"J.Vargas (5-60-W), S.Kelley (1), G.Olson (99)"
51,52,52,Jun 2,,MIN,"W,2-1",10.0,5,1,1,0,2,8,1,0,3.72,36,138,91,0.0,0.0,0,1,34,1,0,0,0,0,0,0,3,Mark Wegner,"C.Lee (4-75), D.Aardsma (2), B.League (1-W)"
52,53,53,Jun 3,,MIN,"W,4-1",9.0,6,1,1,0,1,9,0,0,3.67,34,128,85,0.0,0.0,0,0,33,1,0,0,0,0,0,1,2,Dan Iassogna,"F.Hernandez (4-76-W), D.Aardsma (0-Sv)"
53,54,54,Jun 4,,LAA,"L,1-7",9.0,8,7,6,1,4,1,2,0,3.71,38,146,93,2.0,1.0,0,0,32,2,0,0,1,1,0,1,4,Bob Davidson,"I.Snell (4-44-L), S.White (16), C.Cordero (99), G.Olson (2)"
54,55,55,Jun 5,,LAA,"L,2-11",9.0,12,11,11,0,10,5,0,1,3.84,49,194,114,5.0,2.0,0,1,37,4,0,1,0,1,0,0,6,Alfonso Marquez,"R.Rowland-Smith (4-55), G.Olson (0-L), S.Kelley (3), S.White (0), B.League (2), C.Cordero (0)"
55,56,56,Jun 6,,LAA,"L,4-9",9.0,18,9,8,1,1,7,2,0,3.92,48,183,122,3.0,1.0,0,0,47,5,1,0,0,0,2,0,6,Tim Timmons,"J.Vargas (4-42), S.Kelley (0-L), G.Olson (0), B.League (0), D.Aardsma (2), L.French (99)"
56,57,57,Jun 7,@,TEX,"W,4-2",9.0,7,2,2,0,0,7,0,0,3.88,35,107,84,,,0,0,35,0,0,0,0,0,1,0,1,Jeff Kellogg,C.Lee (4-72-W)
57,58,58,Jun 8,@,TEX,"L,1-7",8.0,9,7,7,0,4,6,1,2,3.95,40,142,87,0.0,0.0,0,0,34,2,0,0,0,0,1,0,3,Jeff Nelson,"F.Hernandez (4-30-L), G.Olson (1), C.Cordero (2)"
58,59,59,Jun 9,@,TEX,"L,2-12",8.0,15,12,11,1,1,4,2,1,4.07,40,138,94,0.0,0.0,0,0,37,2,1,0,0,1,0,1,3,Mark Carlson,"I.Snell (4-9-L), L.French (2), S.White (3)"
59,60,60,Jun 10,@,TEX,"L,3-12",8.0,17,12,4,8,2,5,2,0,4.08,43,141,86,1.0,1.0,1,1,41,2,0,0,0,0,2,1,4,Larry Vanover,"R.Rowland-Smith (4-23-L), B.League (3), S.Kelley (3), G.Olson (1)"
60,61,61,Jun 11,@,SDP,"L,3-4",8.2,10,4,4,0,4,7,0,1,4.08,41,160,98,0.0,0.0,0,0,34,3,1,2,1,1,1,1,4,Rob Drake,"J.Vargas (4-53), S.Kelley (0-H), B.League (0-H), D.Aardsma (4-BL)"
61,62,62,Jun 12,@,SDP,"L,1-7",8.0,10,7,7,0,1,4,2,0,4.14,33,117,82,2.0,2.0,0,1,30,2,0,1,1,1,0,0,3,Joe West,"C.Lee (4-54-L), S.White (2), B.League (0)"
62,63,63,Jun 13,@,SDP,"W,4-2",9.0,4,2,2,0,1,9,1,0,4.1,32,134,89,1.0,0.0,0,0,31,1,0,0,0,0,0,0,2,Angel Hernandez,"F.Hernandez (4-76-W), D.Aardsma (1-Sv)"
63,64,64,Jun 14,@,STL,"L,3-9",8.0,12,9,9,0,5,3,2,0,4.19,41,139,80,0.0,0.0,0,0,35,2,0,0,0,1,1,1,4,Fieldin Culbreth,"L.French (4-32-L), I.Snell (4), C.Cordero (5), S.White (1)"
64,65,65,Jun 15,@,STL,"L,2-4",8.0,11,4,4,0,3,3,2,0,4.19,36,122,75,0.0,0.0,1,1,32,2,0,0,1,0,0,1,4,Marty Foster,"R.Rowland-Smith (4-36-L), S.Kelley (3), G.Olson (4), B.League (2)"
65,66,66,Jun 16,@,STL,"W,2-1",9.0,6,1,1,0,0,6,0,0,4.14,33,111,75,1.0,0.0,0,0,31,3,0,0,1,1,0,0,3,Gary Cederstrom,"J.Vargas (4-69-W), B.League (0-H), D.Aardsma (2-Sv)"
66,67,67,Jun 18,,CIN,"W,1-0",9.0,6,0,0,0,0,7,0,0,4.08,33,110,79,,,0,0,33,2,0,0,0,0,0,0,1,James Hoye,C.Lee (5-82-W)
67,68,68,Jun 19,,CIN,"W,5-1",9.0,5,1,1,0,1,9,0,0,4.03,32,116,81,,,1,0,31,0,0,0,0,0,0,1,1,Laz Diaz,F.Hernandez (5-81-W)
68,69,69,Jun 20,,CIN,"W,1-0",9.0,3,0,0,0,5,7,0,1,3.97,35,143,83,2.0,0.0,0,1,28,0,0,0,1,0,0,0,3,Angel Campos,"R.Rowland-Smith (4-63-W), B.League (3-H), D.Aardsma (3-Sv)"
69,70,70,Jun 22,,CHC,"W,2-0",9.0,6,0,0,0,3,8,0,0,3.92,34,124,79,0.0,0.0,0,0,31,2,0,0,0,0,0,1,3,Bill Miller,"J.Vargas (5-75-W), B.League (1-H), D.Aardsma (1-Sv)"
70,71,71,Jun 23,,CHC,"W,8-1",9.0,9,1,1,0,0,9,1,0,3.88,34,115,90,,,0,0,34,2,0,0,0,0,1,3,1,Mike Reilly,C.Lee (4-74-W)
71,72,72,Jun 24,,CHC,"L,2-3",13.0,6,3,3,0,5,11,0,1,3.84,49,170,111,1.0,1.0,0,0,40,0,0,0,2,1,1,3,5,Chad Fairchild,"F.Hernandez (4-76), D.Aardsma (1), B.League (1), G.Olson (8-L), S.White (9)"
72,73,73,Jun 25,@,MIL,"L,3-8",8.0,8,8,8,0,4,4,2,2,3.9,37,137,92,4.0,2.0,0,0,29,3,0,0,0,2,0,0,4,Dale Scott,"R.Rowland-Smith (4-40-L), C.Cordero (10), G.Olson (0), D.Aardsma (0)"
73,74,74,Jun 26,@,MIL,"W,5-4",9.0,6,4,4,0,1,6,1,0,3.9,35,145,97,0.0,0.0,0,0,34,3,0,0,0,0,1,0,3,Jerry Meals,"D.Fister (25-36), B.Sweeney (99-W), B.League (1-Sv)"
74,75,75,Jun 27,@,MIL,"L,0-3",8.0,11,3,3,0,4,4,1,0,3.9,37,137,87,0.0,0.0,0,0,33,4,1,2,0,0,0,1,3,Mike Estabrook,"J.Vargas (4-42-L), D.Pauley (99), S.White (2)"
75,76,76,Jun 29,@,NYY,"W,7-4",9.0,8,4,3,1,1,2,2,0,3.89,35,115,79,,,0,0,34,2,0,0,0,0,0,1,1,Joe West,C.Lee (5-58-W)
76,77,77,Jun 30,@,NYY,"W,7-0",9.0,2,0,0,0,3,11,0,0,3.83,32,115,76,,,0,0,29,2,0,0,0,0,0,0,1,Angel Hernandez,F.Hernandez (5-91-W)
77,78,78,Jul 1,@,NYY,"L,2-4",8.0,7,4,4,0,3,5,2,0,3.84,33,138,84,0.0,0.0,0,0,30,2,0,1,0,0,0,1,3,Paul Schrieber,"R.Rowland-Smith (5-53), B.Sweeney (4), D.Aardsma (5-L)"
78,79,79,Jul 2,@,DET,"L,1-7",8.0,10,7,7,0,3,9,1,0,3.89,36,153,90,2.0,0.0,0,1,33,1,0,0,0,0,0,0,5,Dana DeMuth,"D.Fister (5-34-L), C.Cordero (6), S.White (4), G.Olson (6), B.League (5)"
79,80,80,Jul 3,@,DET,"L,1-6",8.0,11,6,6,0,2,6,0,0,3.92,37,145,96,3.0,2.0,0,0,35,4,0,1,0,0,0,0,3,Kerwin Danley,"J.Vargas (5-24-L), B.Sweeney (1), D.Pauley (5)"
80,81,81,Jul 4,@,DET,"W,8-1",9.0,10,1,1,0,2,11,0,0,3.88,39,124,91,0.0,0.0,0,0,37,2,0,0,0,0,0,0,2,CB Bucknor,"C.Lee (4-70-W), B.League (1)"
81,82,82,Jul 5,,KCR,"L,4-6",10.0,14,6,6,0,5,7,0,0,3.9,46,186,111,5.0,0.0,0,2,38,1,1,1,1,2,0,1,6,Ted Barrett,"F.Hernandez (4-61), B.League (0-BSv), G.Olson (2), B.Sweeney (1), D.Aardsma (3), C.Cordero (2-L)"
82,83,83,Jul 6,,KCR,"L,2-3",9.0,10,3,3,0,2,0,1,1,3.89,37,127,84,1.0,1.0,0,0,34,3,0,0,0,0,0,2,3,Tony Randazzo,"R.Rowland-Smith (4-49-L), S.White (3), D.Pauley (2)"
83,84,84,Jul 7,,KCR,"L,3-7",9.0,11,7,7,0,4,4,3,0,3.93,42,164,106,0.0,0.0,0,0,37,3,0,0,0,1,1,0,5,Brian Gorman,"D.Fister (4-55), B.Sweeney (1-H), B.League (1-BL), G.Olson (1), C.Cordero (1)"
