,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
22,22,23,23,Apr 24,@,MIL,"W,3-1",9.0,9,1,1,0,4,6,0,0,3.68,36,140,84,2.0,0.0,1,2,32,3,0,0,0,0,0,1,5,Jeff Kellogg,"J.Moyer (4-53), T.Gordon (2-W), J.Romero (3-H), R.Madson (1-H), B.Lidge (1-Sv)"
23,23,24,24,Apr 25,@,PIT,"W,6-5",9.0,8,5,5,0,5,6,1,0,3.73,39,147,83,2.0,0.0,0,0,34,4,0,0,0,0,0,1,5,Paul Nauert,"A.Eaton (4-40), C.Durbin (1), T.Gordon (0-W), J.Romero (0-H), B.Lidge (0-Sv)"
24,24,25,25,Apr 26,@,PIT,"W,8-4",9.0,8,4,3,1,0,2,1,1,3.7,35,111,78,1.0,0.0,0,0,33,2,0,0,1,0,0,1,3,Tom Hallion,"K.Kendrick (4-51-W), R.Seanez (4), R.Madson (1)"
25,25,26,26,Apr 27,@,PIT,"L,1-5",8.0,12,5,5,0,4,7,2,1,3.77,39,148,89,0.0,0.0,2,0,34,1,0,1,0,0,0,1,4,Brian O'Nora,"B.Myers (4-39-L), R.Seanez (0), R.Madson (0), C.Condrey (5)"
26,26,27,27,Apr 29,,SDP,"W,7-4",9.0,7,4,4,0,3,8,2,0,3.78,35,129,93,5.0,1.0,0,0,32,1,0,0,0,0,0,1,4,Rob Drake,"C.Hamels (5-64-W), J.Romero (3), T.Gordon (3-H), R.Madson (1)"
27,27,28,28,Apr 30,,SDP,"L,2-4",9.0,12,4,4,0,3,3,2,1,3.79,45,165,96,2.0,1.0,0,0,40,2,0,0,1,0,2,0,4,Mike Estabrook,"J.Moyer (5-34-L), C.Durbin (4), J.Romero (0), R.Seanez (2)"
28,29,29,29,May 1,,SDP,"W,3-2",9.0,5,2,2,0,3,6,1,0,3.72,34,143,84,1.0,0.0,0,0,31,0,0,0,0,0,0,0,5,Dan Iassogna,"A.Eaton (5-54), R.Madson (1), J.Romero (0), T.Gordon (1-W), B.Lidge (5-Sv)"
29,30,30,30,May 2,,SFG,"W,6-5",10.0,16,5,5,0,1,10,1,1,3.75,46,168,116,2.0,2.0,1,0,43,1,0,0,1,0,0,2,5,Derryl Cousins,"K.Kendrick (5-50), R.Madson (0-BSv), T.Gordon (0), B.Lidge (0), J.Romero (0-W)"
30,31,31,31,May 3,,SFG,"L,2-3",10.0,11,3,3,0,4,12,1,0,3.72,44,175,103,0.0,0.0,4,1,40,0,0,0,0,0,0,0,4,Angel Hernandez,"B.Myers (5-64), C.Durbin (2), B.Lidge (0), R.Seanez (2-L)"
31,32,32,32,May 4,,SFG,"W,6-5",9.0,10,5,5,0,1,6,1,0,3.76,37,142,93,0.0,0.0,0,0,35,3,1,1,1,0,0,1,3,James Hoye,"C.Hamels (4-47), C.Durbin (0), B.Lidge (0-W)"
