,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
22,22,23,23,Apr 29,,DET,"L,2-3",11.0,8,3,3,0,6,12,1,1,3.14,47,198,113,1.0,0.0,2,0,38,2,1,1,2,0,0,0,5,Jerry Layne,"J.Contreras (5-65), L.Vizcaino (2), D.Marte (1), D.Hermanson (1), S.Takatsu (4-L)"
23,23,24,24,Apr 30,,DET,"W,4-3",9.0,9,3,3,0,3,7,0,0,3.13,36,144,92,1.0,0.0,2,1,31,1,0,0,2,0,0,1,4,Paul Emmel,"O.Hernandez (5-53-W), C.Politte (5-H), D.Marte (0-H), D.Hermanson (0-Sv)"
24,25,25,25,May 1,,DET,"W,8-0",9.0,4,0,0,0,1,6,0,0,3.01,31,107,67,,,0,1,30,0,0,0,0,0,0,0,1,Tony Randazzo,J.Garland (5-84-W)
25,26,26,26,May 3,,KCR,"W,5-4",9.0,8,4,4,0,0,6,3,0,3.05,35,129,90,0.0,0.0,0,0,34,1,0,0,1,0,0,0,2,Marty Foster,"M.Buehrle (6-54-W), S.Takatsu (3-Sv)"
26,27,27,27,May 4,,KCR,"W,4-2",9.0,9,2,2,0,3,7,0,0,3.01,38,151,100,6.0,1.0,0,0,34,3,0,0,0,1,0,1,5,Jim Joyce,"F.Garcia (6-51-W), N.Cotts (9), C.Politte (3-H), D.Marte (3-H), D.Hermanson (3-Sv)"
27,28,28,28,May 5,,KCR,"W,2-1",9.0,4,1,1,0,3,7,1,0,2.94,33,130,82,0.0,0.0,0,1,30,0,0,0,0,0,0,0,2,Laz Diaz,"J.Contreras (5-75-W), S.Takatsu (1-Sv)"
28,29,29,29,May 6,@,TOR,"W,5-3",9.0,7,3,3,0,3,5,1,0,2.94,37,146,85,0.0,0.0,1,0,33,3,0,0,0,1,0,0,3,Ed Rapuano,"O.Hernandez (5-54-W), D.Marte (1-H), D.Hermanson (1-Sv)"
29,30,30,30,May 7,@,TOR,"W,10-7",9.0,10,7,7,0,1,4,2,0,3.07,38,145,92,0.0,0.0,1,0,36,3,0,0,0,1,0,0,3,Jerry Crawford,"J.Garland (5-28-W), N.Cotts (2), L.Vizcaino (7)"
30,31,31,31,May 8,@,TOR,"W,5-4",9.0,10,4,2,2,3,5,0,0,3.04,37,134,84,0.0,0.0,0,0,34,2,0,0,0,0,1,2,3,CB Bucknor,"M.Buehrle (4-50-W), D.Hermanson (1-H), D.Marte (1-Sv)"
31,32,32,32,May 9,@,TBD,"L,2-4",8.0,10,4,4,0,4,6,0,0,3.08,37,134,86,4.0,1.0,2,0,32,2,0,0,1,0,0,1,3,Rob Drake,"F.Garcia (4-43-L), N.Cotts (1), C.Politte (4)"
32,33,33,33,May 10,@,TBD,"L,6-7",8.1,9,7,7,0,9,9,2,1,3.2,45,168,93,2.0,1.0,2,0,34,2,0,0,0,0,0,0,5,Mike Reilly,"J.Contreras (4-39), N.Cotts (0-H), L.Vizcaino (2-BSv), D.Marte (1), S.Takatsu (4-L)"
33,34,34,34,May 11,@,TBD,"W,5-2",9.0,5,2,2,0,5,5,0,0,3.17,36,141,81,5.0,1.0,3,0,30,1,0,0,0,1,0,0,4,Andy Fletcher,"O.Hernandez (4-59-W), C.Politte (1-H), D.Marte (0), D.Hermanson (2-Sv)"
34,35,35,35,May 12,,BAL,"W,3-2",9.0,8,2,2,0,1,4,1,0,3.14,34,114,75,0.0,0.0,0,0,33,0,0,0,0,0,0,2,2,Larry Vanover,"J.Garland (4-61-W), D.Hermanson (0-Sv)"
35,36,36,36,May 13,,BAL,"W,5-3",9.0,5,3,3,0,1,6,0,0,3.13,31,114,77,0.0,0.0,0,0,30,1,0,0,0,0,0,1,2,Sam Holbrook,"M.Buehrle (4-64-W), D.Hermanson (0-Sv)"
36,37,37,37,May 14,,BAL,"L,6-9",9.0,15,9,8,1,6,10,2,0,3.26,48,182,109,4.0,1.0,1,0,41,7,0,1,1,0,0,0,5,Jim Wolf,"F.Garcia (4-28-L), N.Cotts (3), S.Takatsu (3), K.Walker (99), L.Vizcaino (3)"
37,38,38,38,May 15,,BAL,"L,2-6",9.0,11,6,5,1,1,6,2,1,3.31,40,148,93,5.0,2.0,2,0,37,2,0,0,0,1,1,0,5,Randy Marsh,"J.Contreras (4-44-L), N.Cotts (0), L.Vizcaino (0), K.Walker (0), S.Takatsu (0)"
38,39,39,39,May 16,,TEX,"L,6-7",9.0,11,7,7,0,6,11,2,0,3.4,41,176,107,2.0,0.0,1,1,35,2,1,0,0,0,0,0,5,Mike DiMuro,"O.Hernandez (4-18), L.Vizcaino (0), C.Politte (4), S.Takatsu (0), D.Marte (4-L)"
39,40,40,40,May 17,,TEX,"W,5-2",9.0,6,2,2,0,4,8,0,1,3.37,36,150,98,0.0,0.0,0,0,31,2,1,0,0,0,0,2,3,Mark Carlson,"J.Garland (4-61-W), D.Marte (0-H), D.Hermanson (3-Sv)"
