,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
32,33,33,33,May 7,,LAA,"W,7-6",34,30,7,7,2,0,2,6,3,1,13,0,1,0,1,1,3,0,0.247,0.305,0.396,0.701,3,9,L,C.Wilson(51)
33,34,34,34,May 8,,LAA,"W,3-1",33,32,3,9,4,0,1,3,1,0,7,0,0,0,0,1,0,0,0.248,0.305,0.398,0.704,6,11,R,J.Blanton(52)
34,35,35,35,May 9,,LAA,"L,5-6",39,34,5,13,2,0,0,5,3,0,10,0,2,0,0,1,3,0,0.252,0.309,0.4,0.708,7,11,L,J.Vargas(34)
35,36,36,36,May 10,,TEX,"L,2-4",37,33,2,5,1,0,1,1,4,0,7,0,0,0,1,0,0,0,0.249,0.307,0.396,0.703,8,9,R,A.Ogando(50)
36,37,37,37,May 11,,TEX,"L,7-8",38,32,7,7,2,0,2,6,4,0,9,0,0,2,1,0,1,1,0.248,0.306,0.398,0.705,4,10,R,Y.Darvish(64)
37,38,38,38,May 12,,TEX,"L,7-12",39,37,7,9,0,0,3,7,2,0,12,0,0,0,1,0,0,0,0.248,0.306,0.401,0.706,5,11,R,N.Tepesch(67)
38,39,39,39,May 13,@,DET,"L,2-7",35,33,2,7,1,0,0,2,1,0,8,1,0,0,0,1,2,0,0.247,0.305,0.397,0.701,6,10,R,A.Sanchez(64)
39,40,40,40,May 14,@,DET,"L,2-6",32,31,2,5,2,0,0,2,0,0,11,0,0,1,0,0,0,0,0.245,0.301,0.393,0.694,3,9,R,D.Fister(66)
40,41,41,41,May 15,@,DET,"W,7-5",36,30,7,8,3,0,2,7,4,0,10,0,1,1,0,0,0,3,0.246,0.302,0.397,0.699,2,12,R,M.Scherzer(51)
41,42,42,42,May 17,@,PIT,"L,4-5",37,29,4,7,1,0,1,3,5,0,7,0,2,1,0,0,0,2,0.246,0.303,0.396,0.699,6,16,R,J.Gomez(39)
