,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
22,22,23,23,Apr 27,@,SDP,"W,6-5",9.0,8,5,4,1,5,11,1,1,3.29,40,182,110,0.0,0.0,1,0,32,1,0,0,0,2,0,1,4,Tim Tschida,"M.Hendrickson (7-61), C.Billingsley (4), R.Seanez (1-W), T.Saito (1-Sv)"
23,23,24,24,Apr 28,@,SDP,"L,2-3",8.0,6,3,3,0,0,2,0,0,3.3,29,96,63,2.0,0.0,0,0,29,1,0,0,0,0,0,0,2,Jim Joyce,"B.Tomko (5-50-L), C.Tsao (1)"
24,24,25,25,Apr 29,@,SDP,"W,5-4",17.0,9,4,4,0,4,12,0,0,3.21,64,214,140,1.0,0.0,1,0,59,1,1,0,1,0,1,1,7,Jeff Nelson,"D.Lowe (4-42), J.Beimel (2), J.Broxton (2), C.Tsao (0), R.Seanez (1), T.Saito (1), C.Billingsley (1-W)"
25,25,26,26,Apr 30,,ARI,"L,1-9",9.0,17,9,9,0,7,11,2,1,3.43,52,171,102,4.0,1.0,0,0,42,2,0,0,2,0,0,0,4,Gary Cederstrom,"R.Wolf (4-26-L), R.Seanez (0), B.Tomko (1), J.Beimel (0)"
26,27,27,27,May 1,,ARI,"W,2-1",9.0,5,1,1,0,5,5,0,0,3.34,36,143,83,0.0,0.0,3,0,31,0,1,1,0,0,0,1,4,Lance Barksdale,"B.Penny (4-66), C.Tsao (1-H), J.Broxton (1-BSv), T.Saito (1-W)"
27,28,28,28,May 2,,ARI,"W,2-1",9.0,5,1,1,0,2,12,0,0,3.26,33,132,84,1.0,0.0,1,1,30,0,0,0,1,0,1,1,4,Jim Reynolds,"M.Hendrickson (4-72-W), C.Tsao (0-H), J.Broxton (0-H), T.Saito (0-Sv)"
28,29,29,29,May 4,@,ATL,"L,0-4",8.0,8,4,4,0,8,5,0,0,3.29,38,144,82,2.0,0.0,0,1,29,2,0,0,1,0,0,1,4,Randy Marsh,"B.Tomko (3-35-L), J.Beimel (3), C.Billingsley (4), R.Seanez (3)"
29,30,30,30,May 5,@,ATL,"W,6-3",9.0,7,3,2,1,4,9,0,0,3.25,38,150,94,3.0,2.0,2,0,34,2,0,0,0,0,1,1,4,Bob Davidson,"D.Lowe (5-75-W), J.Broxton (2-H), J.Beimel (0), T.Saito (2-Sv)"
30,31,31,31,May 6,@,ATL,"L,4-6",8.0,11,6,6,0,5,12,0,1,3.35,41,180,113,5.0,2.0,0,0,35,2,0,0,0,0,1,1,4,Sam Holbrook,"R.Wolf (5-58), R.Seanez (1-H), C.Tsao (3-BL), C.Billingsley (1)"
31,32,32,32,May 7,@,FLA,"W,6-1",9.0,6,1,1,0,0,15,1,0,3.28,33,134,91,0.0,0.0,0,0,33,1,0,0,0,0,0,0,2,Larry Poncino,"B.Penny (5-81-W), R.Seanez (0)"
32,33,33,33,May 8,@,FLA,"L,5-6",8.1,9,6,4,2,5,6,2,0,3.31,39,156,98,2.0,1.0,0,0,33,2,1,1,1,0,1,0,5,Jerry Meals,"M.Hendrickson (5-36), C.Tsao (1), C.Billingsley (1), J.Beimel (2), J.Broxton (2-L)"
33,34,34,34,May 9,@,FLA,"W,5-3",9.0,7,3,3,0,2,9,1,0,3.3,36,134,82,0.0,0.0,2,0,34,0,0,0,0,0,0,0,3,Bruce Dreckman,"B.Tomko (4-56-W), J.Broxton (0-H), T.Saito (3-Sv)"
34,35,35,35,May 10,@,FLA,"L,0-3",8.1,5,3,2,1,3,6,1,0,3.27,31,94,57,,,0,1,28,2,0,0,0,0,1,2,1,Rob Drake,D.Lowe (4-66-L)
35,36,36,36,May 11,,CIN,"W,2-0",9.0,5,0,0,0,2,13,0,0,3.18,34,149,95,0.0,0.0,0,0,32,1,0,0,0,0,0,0,3,Larry Young,"R.Wolf (4-80-W), J.Broxton (1-H), T.Saito (1-Sv)"
36,37,37,37,May 12,,CIN,"W,7-3",9.0,6,3,3,0,3,8,0,0,3.17,36,160,108,4.0,0.0,0,0,33,2,0,0,0,0,0,0,4,Angel Hernandez,"B.Penny (4-64-W), C.Tsao (3), J.Beimel (3), R.Seanez (4)"
37,38,38,38,May 13,,CIN,"W,10-5",9.0,8,5,4,1,5,7,1,0,3.19,42,146,93,2.0,0.0,4,0,35,0,0,1,2,0,2,0,4,Ted Barrett,"M.Hendrickson (4-35), C.Billingsley (4), J.Broxton (1-W), J.Beimel (0)"
38,39,39,39,May 14,,STL,"L,4-8",9.0,13,8,8,0,0,6,1,0,3.32,39,149,99,1.0,1.0,0,0,37,4,0,0,1,1,0,1,4,Marvin Hudson,"B.Tomko (4-7-L), R.Seanez (1), C.Tsao (1), C.Billingsley (0)"
39,40,40,40,May 15,,STL,"W,9-7",9.0,12,7,7,0,3,6,0,0,3.41,42,153,97,4.0,0.0,0,0,39,3,0,0,0,0,1,0,5,Ed Montague,"D.Lowe (4-36-W), J.Beimel (1), H.Kuo (99), J.Broxton (1-H), T.Saito (3-Sv)"
