,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
92,95,93,93,Jul 21,@,HOU,"W,5-4",40,35,5,8,3,0,1,5,3,0,14,1,1,0,1,0,0,0,0.23,0.298,0.397,0.695,8,10,R,L.McCullers(45)
93,96,94,94,Jul 22,,TBR,"L,4-5",41,35,4,5,1,0,1,4,5,1,10,0,0,1,1,0,2,0,0.229,0.298,0.396,0.693,8,9,R,L.Patino(43)
94,97,95,95,Jul 23,,TBR,"L,5-10",38,36,5,10,0,1,2,5,2,0,7,0,0,0,0,1,0,0,0.23,0.298,0.397,0.695,6,11,L,J.Fleming(37)
95,98,96,96,Jul 24,,TBR,"L,2-8",34,33,2,5,1,0,1,2,0,0,10,1,0,0,1,0,0,0,0.229,0.297,0.395,0.692,5,10,R,D.Rasmussen(56)
96,99,97,97,Jul 25,,TBR,"W,3-2",33,30,3,7,0,0,1,3,1,0,7,1,0,1,0,0,1,0,0.229,0.296,0.395,0.691,6,10,L,R.Yarbrough(68)
97,100,98,98,Jul 27,,STL,"L,2-4",33,30,2,5,0,0,1,2,2,0,9,1,0,0,0,1,0,1,0.228,0.296,0.394,0.69,4,9,R,A.Wainwright(67)
98,101,99,99,Jul 28,,STL,"W,7-2",36,29,7,9,2,0,4,7,4,0,3,1,1,1,0,0,0,2,0.229,0.297,0.397,0.694,5,10,L,K.Kim(27)
99,102,100,100,Jul 30,@,CHW,"L,4-6",39,34,4,9,1,0,1,4,3,0,12,1,1,0,0,0,1,0,0.229,0.297,0.397,0.694,8,10,R,L.Lynn(47)
100,103,101,101,Jul 31,@,CHW,"W,12-11",43,39,12,13,6,1,3,12,3,0,8,0,0,1,0,0,1,0,0.231,0.298,0.402,0.7,4,9,L,D.Keuchel(41)
101,105,102,102,Aug 1,@,CHW,"L,1-2",32,30,1,4,2,0,1,1,1,0,10,1,0,0,0,1,2,0,0.23,0.297,0.401,0.698,4,9,R,J.Lambert(52)
102,106,103,103,Aug 2,@,TOR,"W,5-2",42,37,5,9,2,0,1,5,4,0,8,0,1,0,0,0,3,0,0.23,0.297,0.4,0.698,8,10,L,R.Ray(53)
103,107,104,104,Aug 3,@,TOR,"L,2-7",34,34,2,7,3,0,0,2,0,0,11,0,0,0,0,0,0,0,0.23,0.297,0.399,0.696,5,9,L,H.Ryu(63)
104,108,105,105,Aug 4,@,TOR,"L,6-8",44,41,6,15,1,0,2,6,2,0,12,0,0,1,0,0,1,0,0.231,0.298,0.401,0.699,11,9,L,S.Matz(67)
