,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
32,33,33,33,May 11,,CIN,"L,0-9",28,27,0,1,0,0,0,0,0,0,8,1,0,0,0,0,0,1,0.235,0.307,0.358,0.664,1,15,R,J.Cueto(93)
33,34,34,34,May 12,,CIN,"L,0-5",29,29,0,4,1,0,0,0,0,0,6,0,0,0,0,2,0,0,0.232,0.303,0.353,0.656,2,15,R,H.Bailey(85)
34,35,35,35,May 14,@,CHC,"W,10-6",50,42,10,16,3,0,2,10,6,1,12,1,0,1,0,0,2,0,0.238,0.309,0.362,0.67,13,17,L,T.Gorzelanny(32)
35,36,36,36,May 15,@,CHC,"W,4-3",36,31,4,6,1,0,1,4,5,0,9,0,0,0,0,2,0,0,0.237,0.309,0.361,0.669,5,13,R,R.Dempster(61)
36,37,37,37,May 16,@,CHC,"L,3-4",36,32,3,6,1,0,0,3,4,1,7,0,0,0,0,0,0,1,0.235,0.308,0.357,0.665,6,14,L,T.Lilly(54)
37,38,38,38,May 17,@,PHI,"L,2-12",33,32,2,5,1,0,1,2,1,0,6,0,0,0,1,1,1,0,0.233,0.305,0.355,0.66,4,13,R,K.Kendrick(67)
38,39,39,39,May 18,@,PHI,"W,2-1",37,36,2,9,3,0,0,2,1,0,6,0,0,0,2,2,0,0,0.234,0.304,0.354,0.659,8,14,R,R.Halladay(66)
39,40,40,40,May 19,,MIL,"W,6-4",38,31,6,12,2,0,0,6,5,0,5,0,1,1,0,2,0,0,0.237,0.308,0.357,0.665,8,15,L,R.Wolf(27)
40,41,41,41,May 20,,MIL,"L,3-4",36,33,3,7,2,1,0,3,2,0,4,1,0,0,0,1,0,0,0.237,0.307,0.356,0.663,6,14,L,C.Narveson(47)
41,42,42,42,May 21,,ATL,"L,0-7",35,30,0,4,0,0,0,0,5,1,4,0,0,0,0,1,0,0,0.234,0.306,0.351,0.657,8,14,R,T.Hudson(75)
42,43,43,43,May 22,,ATL,"L,2-4",43,34,2,9,1,1,0,2,7,0,10,0,2,0,1,0,1,0,0.235,0.308,0.351,0.66,14,16,R,D.Lowe(50)
43,44,44,44,May 23,,ATL,"W,3-2",43,37,3,11,2,1,1,3,3,1,6,2,0,1,0,1,1,0,0.237,0.31,0.355,0.665,11,14,R,K.Medlen(47)
44,45,45,45,May 24,@,CIN,"L,5-7",40,37,5,10,3,0,1,5,2,0,5,0,0,1,1,1,0,0,0.238,0.31,0.357,0.666,8,15,R,A.Harang(40)
45,46,46,46,May 25,@,CIN,"W,2-1",35,34,2,11,1,1,1,2,1,0,5,0,0,0,0,2,1,1,0.239,0.31,0.36,0.67,6,11,R,M.Leake(56)
46,47,47,47,May 26,@,CIN,"L,0-4",35,31,0,6,0,0,0,0,4,1,5,0,0,0,0,2,0,0,0.239,0.31,0.357,0.666,8,13,R,B.Arroyo(70)
47,48,48,48,May 27,@,CIN,"L,2-8",38,35,2,8,3,0,0,2,3,0,11,0,0,0,0,0,0,0,0.238,0.309,0.356,0.665,9,15,R,J.Cueto(73)
