,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
21,21,22,22,Apr 26,,PIT,"W,9-1",9.0,5,1,1,0,4,11,0,3,2.95,38,140,88,3.0,0.0,1,0,30,1,0,0,0,1,0,1,4,Tim Timmons,"L.Lynn (5-75-W), M.Boggs (4), R.Choate (4-H), J.Kelly (1)"
22,22,23,23,Apr 27,,PIT,"L,3-5",9.0,11,5,5,0,4,8,1,1,3.04,42,178,109,4.0,3.0,0,0,36,1,0,0,0,1,0,0,6,Mike Winters,"J.Westbrook (5-66), J.Kelly (0-BL), T.Rosenthal (2), M.Rzepczynski (5), F.Salas (5), M.Boggs (0)"
23,23,24,24,Apr 28,,PIT,"L,0-9",9.0,13,9,9,0,5,11,4,0,3.29,43,180,119,3.0,3.0,1,0,38,3,0,0,0,0,0,2,4,Mark Wegner,"S.Miller (5-47-L), F.Salas (0), M.Boggs (0), M.Rzepczynski (0)"
24,24,25,25,Apr 29,,CIN,"L,1-2",9.0,6,2,2,0,2,8,0,0,3.24,34,126,83,1.0,0.0,0,0,31,2,0,1,1,0,0,1,3,Paul Nauert,"A.Wainwright (5-63-L), R.Choate (2), T.Rosenthal (1)"
25,25,26,26,Apr 30,,CIN,"W,2-1",9.0,7,1,1,0,0,6,0,0,3.15,32,112,83,0.0,0.0,0,1,31,1,0,0,1,0,0,1,2,Angel Hernandez,"J.Garcia (5-67-W), E.Mujica (5-Sv)"
26,27,27,27,May 1,,CIN,"W,4-2",9.0,6,2,2,0,2,6,1,1,3.11,34,129,89,0.0,0.0,0,0,31,1,1,0,0,0,1,2,3,Doug Eddings,"L.Lynn (4-66-W), T.Rosenthal (1-H), E.Mujica (0-Sv)"
27,28,28,28,May 2,@,MIL,"W,6-5",9.0,12,5,4,1,5,10,0,1,3.14,45,166,105,5.0,1.0,2,0,38,3,0,0,0,1,1,0,5,Todd Tichenor,"J.Westbrook (4-57-W), J.Kelly (4), M.Boggs (3), T.Rosenthal (0-H), E.Mujica (0-Sv)"
28,29,29,29,May 3,@,MIL,"W,6-1",9.0,8,1,1,0,1,5,0,0,3.07,34,133,88,0.0,0.0,1,0,32,0,0,0,0,1,0,2,4,Dale Scott,"S.Miller (4-58-W), C.Martinez (99), S.Maness (99), F.Salas (4)"
29,30,30,30,May 4,@,MIL,"W,7-6",9.0,14,6,6,0,1,5,2,2,3.16,41,148,102,7.0,1.0,0,0,37,1,0,0,1,0,0,4,6,Bill Miller,"A.Wainwright (4-31), J.Kelly (1), F.Salas (0-H), R.Choate (4-BSv), S.Maness (0-W), E.Mujica (1-Sv)"
30,31,31,31,May 5,@,MIL,"W,10-1",9.0,8,1,1,0,1,4,0,0,3.09,35,116,83,0.0,0.0,0,0,33,2,0,0,1,0,0,1,2,CB Bucknor,"J.Garcia (4-64-W), C.Martinez (1)"
31,32,32,32,May 7,@,CHC,"L,1-2",8.0,5,2,2,0,1,9,1,1,3.07,30,125,87,0.0,0.0,0,0,28,1,0,0,0,0,0,1,2,Joe West,"L.Lynn (5-68-L), T.Rosenthal (4)"
32,33,33,33,May 8,@,CHC,"W,5-4",9.0,11,4,3,1,2,3,0,0,3.07,35,117,71,3.0,0.0,0,1,32,2,0,0,1,0,0,4,5,Andy Fletcher,"J.Westbrook (5-36), S.Maness (3-W), T.Rosenthal (0-H), R.Choate (3-H), E.Mujica (3-Sv)"
33,34,34,34,May 10,,COL,"W,3-0",9.0,1,0,0,0,0,13,0,0,2.98,28,113,84,,,1,0,28,0,0,0,0,0,0,0,1,Mike Everitt,S.Miller (6-98-W)
