,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
15,15,16,16,Apr 14,,NYM,"L,3-7",37,33,3,9,2,0,0,3,3,0,5,0,0,1,0,0,0,0,0.261,0.312,0.396,0.708,7,13,R,Z.Wheeler(53)
16,16,17,17,Apr 15,,NYM,"L,0-9",32,30,0,3,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0.253,0.304,0.381,0.685,5,15,R,J.Mejia(64)
17,17,18,18,Apr 16,,NYM,"L,2-5",34,34,2,8,2,0,2,2,0,0,5,0,0,0,0,0,0,0,0.252,0.301,0.386,0.687,5,15,R,D.Gee(74)
18,18,19,19,Apr 18,@,LAD,"W,4-2",48,40,4,7,1,0,1,3,5,0,11,1,1,0,1,2,1,1,0.248,0.3,0.379,0.679,8,19,R,Z.Greinke(68)
19,19,20,20,Apr 19,@,LAD,"L,6-8",39,36,6,10,3,0,0,6,1,0,7,1,1,0,1,1,0,0,0.249,0.301,0.378,0.679,6,12,R,D.Haren(55)
20,20,21,21,Apr 20,@,LAD,"L,1-4",33,28,1,3,1,0,0,1,4,0,14,0,0,0,0,1,0,0,0.244,0.297,0.369,0.667,5,13,R,J.Beckett(70)
21,21,22,22,Apr 21,@,CHC,"L,1-5",35,34,1,7,1,0,1,1,1,0,11,0,0,0,0,0,0,0,0.242,0.294,0.367,0.662,7,13,L,T.Wood(70)
22,22,23,23,Apr 22,@,CHC,"L,2-9",31,31,2,6,0,0,1,2,0,0,5,0,0,0,0,1,0,0,0.24,0.291,0.364,0.655,2,14,R,J.Hammel(69)
23,23,24,24,Apr 23,@,CHC,"W,7-5",42,38,7,10,2,1,0,7,4,0,7,0,0,0,1,0,0,0,0.241,0.293,0.364,0.657,8,15,R,J.Samardzija(59)
24,24,25,25,Apr 24,@,CHC,"W,5-2",36,33,5,8,4,0,0,5,3,0,5,0,0,0,0,2,1,0,0.241,0.293,0.364,0.658,4,13,R,E.Jackson(57)
25,25,26,26,Apr 25,,PHI,"W,5-4",35,33,5,9,1,0,2,5,2,0,6,0,0,0,0,0,1,0,0.243,0.294,0.369,0.663,6,15,R,R.Hernandez(45)
26,26,27,27,Apr 26,,PHI,"L,5-6",40,33,5,10,2,1,0,5,5,1,4,0,1,1,0,0,0,2,0.245,0.298,0.371,0.668,8,13,L,C.Lee(40)
27,27,28,28,Apr 27,,PHI,"L,0-2",33,32,0,6,1,1,0,0,0,0,8,1,0,0,0,1,0,0,0.243,0.295,0.368,0.663,6,12,R,A.Burnett(80)
28,28,29,29,Apr 28,,COL,"L,5-8",38,33,5,10,1,1,1,5,3,0,5,0,1,1,0,2,0,0,0.245,0.297,0.372,0.668,6,14,L,F.Morales(37)
29,29,30,30,Apr 29,,COL,"L,4-5",42,36,4,10,3,0,1,4,4,0,10,1,0,1,0,0,0,0,0.246,0.299,0.374,0.673,11,17,R,T.Chatwood(44)
30,30,31,31,Apr 30,,COL,"W,5-4",40,35,5,8,2,1,2,5,3,0,6,2,0,0,0,0,0,0,0.245,0.3,0.379,0.679,8,14,R,J.Lyles(61)
31,32,32,32,May 2,@,SDP,"W,2-0",36,33,2,7,0,0,0,2,3,0,4,0,0,0,0,1,1,1,0.244,0.299,0.374,0.673,7,12,R,A.Cashner(54)
32,33,33,33,May 3,@,SDP,"W,4-3",42,40,4,14,2,0,1,4,2,0,13,0,0,0,0,1,0,0,0.248,0.302,0.377,0.679,11,14,R,I.Kennedy(39)
33,34,34,34,May 4,@,SDP,"L,3-4",37,35,3,8,0,0,1,3,2,0,7,0,0,0,3,1,1,2,0.247,0.301,0.375,0.677,7,14,R,T.Ross(59)
34,35,35,35,May 5,@,MIL,"L,3-8",42,37,3,10,1,0,0,3,4,0,10,1,0,0,0,0,0,0,0.248,0.303,0.373,0.676,12,14,R,M.Garza(47)
35,36,36,36,May 6,@,MIL,"W,7-5",40,36,7,10,2,0,3,7,3,0,6,0,1,0,0,0,1,0,0.249,0.304,0.379,0.683,6,14,R,M.Estrada(50)
36,37,37,37,May 7,@,MIL,"W,3-2",43,41,3,14,2,0,1,2,1,0,7,0,1,0,1,0,1,0,0.252,0.305,0.382,0.687,13,12,R,W.Peralta(45)
37,38,38,38,May 9,@,CHW,"L,3-9",35,33,3,4,1,0,1,3,2,0,5,0,0,0,2,0,1,0,0.249,0.302,0.378,0.68,5,9,R,A.Rienzo(50)
38,39,39,39,May 10,@,CHW,"W,4-3",39,35,4,12,3,1,0,4,3,1,5,0,0,1,0,2,1,0,0.251,0.304,0.381,0.685,8,11,L,J.Quintana(50)
39,40,40,40,May 11,@,CHW,"W,5-1",42,36,5,10,1,1,2,5,5,1,8,1,0,0,1,2,3,0,0.252,0.306,0.385,0.691,10,10,R,H.Noesi(45)
40,41,41,41,May 12,,WSN,"L,5-6",38,38,5,13,6,0,1,5,0,0,7,0,0,0,0,2,0,0,0.254,0.307,0.39,0.697,6,15,R,J.Zimmermann(33)
41,42,42,42,May 13,,WSN,"W,3-1",32,32,3,8,2,0,0,3,0,0,7,0,0,0,0,0,0,0,0.254,0.306,0.388,0.694,5,10,R,S.Strasburg(55)
42,43,43,43,May 14,,WSN,"L,1-5",32,31,1,6,0,0,1,1,0,0,8,1,0,0,1,2,0,1,0.253,0.304,0.386,0.691,4,12,R,D.Fister(69)
