,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
23,23,24,24,Apr 28,,KCR,"L,2-8",9.0,12,8,4,4,3,4,1,0,2.39,44,158,99,2.0,1.0,1,0,39,3,0,0,0,2,3,1,3,Jim Reynolds,"T.Ohka (5-46-L), T.Wakefield (3), R.Beck (2)"
24,24,25,25,Apr 29,,KCR,"L,8-11",11.0,16,11,11,0,5,9,2,0,2.71,53,208,127,2.0,0.0,0,0,47,3,0,0,1,0,0,1,6,Richard Shulock,"P.Crawford (4-16), R.Garces (3), P.Schourek (3), R.Beck (0), R.Arrojo (1-H), D.Lowe (2-BL)"
25,26,26,26,May 1,@,SEA,"W,2-0",9.0,3,0,0,0,4,12,0,1,2.61,34,151,87,0.0,0.0,0,0,29,0,0,0,0,0,0,0,2,Joe Brinkman,"P.Martinez (5-84-W), R.Arrojo (1-Sv)"
26,27,27,27,May 2,@,SEA,"L,1-5",8.0,5,5,5,0,4,7,0,1,2.7,35,130,78,1.0,1.0,1,0,29,2,2,1,1,0,1,0,2,Jeff Nelson,"H.Nomo (5-51-L), D.Lowe (2)"
27,28,28,28,May 3,@,SEA,"L,3-10",8.0,11,10,9,1,7,9,2,0,2.94,43,172,100,2.0,0.0,4,0,35,3,0,2,0,1,0,0,3,Dave Phillips,"F.Castillo (5-33-L), T.Wakefield (4), R.Garces (3)"
28,29,29,29,May 4,@,OAK,"L,3-7",8.0,11,7,5,2,5,5,1,2,3.02,41,150,79,6.0,3.0,4,0,34,3,0,1,0,0,1,2,4,Dale Scott,"T.Ohka (5-40), D.Lowe (1-L), P.Schourek (4-BSv), R.Beck (4)"
29,30,30,30,May 5,@,OAK,"W,7-1",9.0,6,1,1,0,1,8,0,1,2.95,35,143,94,0.0,0.0,0,0,33,1,0,0,0,0,0,0,3,Larry Young,"P.Crawford (5-58-W), T.Wakefield (1), R.Arrojo (3)"
30,31,31,31,May 6,@,OAK,"W,5-4",9.0,6,4,4,0,0,8,0,2,2.99,33,136,92,0.0,0.0,1,0,31,2,0,0,0,0,0,2,4,Andy Fletcher,"P.Martinez (4-71-W), R.Arrojo (0), R.Garces (2-H), R.Beck (1-Sv)"
31,32,32,32,May 8,,SEA,"W,12-4",9.0,8,4,3,1,5,8,1,0,2.99,40,154,97,0.0,0.0,0,0,35,2,0,0,0,0,1,1,3,Rick Reed,"H.Nomo (5-43-W), T.Wakefield (2), D.Lowe (3)"
32,33,33,33,May 9,,SEA,"L,5-10",9.0,14,10,9,1,4,2,0,2,3.17,49,163,97,1.0,0.0,4,0,43,4,0,0,0,0,3,1,4,Al Clark,"F.Castillo (5-37), R.Garces (2), R.Arrojo (2-L), P.Schourek (4)"
33,34,34,34,May 10,,SEA,"L,2-5",9.0,8,5,5,0,3,5,2,0,3.22,38,132,85,0.0,0.0,1,0,35,0,0,1,0,0,0,0,4,Mark Wegner,"T.Ohka (5-35-L), D.Lowe (1), T.Wakefield (1), R.Beck (3)"
34,35,35,35,May 11,,OAK,"L,6-7",9.0,13,7,7,0,8,6,1,0,3.33,46,173,105,1.0,1.0,0,0,38,4,0,1,0,0,0,2,5,Dan Iassogna,"P.Crawford (5-28), T.Wakefield (0), P.Schourek (1), R.Arrojo (1), R.Beck (0-L)"
