,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
22,22,23,23,Apr 25,,BAL,"W,2-1",9.0,3,1,1,0,5,5,0,1,5.61,32,113,61,5.0,1.0,0,1,26,0,0,1,0,0,0,2,4,Jim Reynolds,"S.McClung (4-61-W), M.Venafro (1), T.Harper (1-H), L.Carter (1-Sv)"
23,23,24,24,Apr 26,,BAL,"W,10-7",9.0,12,7,7,0,4,6,2,0,5.66,42,149,99,5.0,0.0,1,1,37,5,0,0,0,1,0,0,5,Jim Joyce,"S.Parris (4-28), N.Bierbrodt (5), V.Zambrano (2-W), M.Venafro (0-H), L.Carter (0-Sv)"
24,24,25,25,Apr 27,,BAL,"L,4-7",9.0,11,7,6,1,2,5,0,1,5.68,40,145,92,0.0,0.0,2,1,37,2,0,0,0,0,1,1,2,Dale Scott,"J.Kennedy (4-25-L), A.Levine (2)"
25,25,26,26,Apr 29,@,MIN,"L,3-5",8.0,9,5,5,0,2,2,2,0,5.68,34,114,72,0.0,0.0,1,0,32,2,0,0,0,0,1,0,2,Paul Nauert,"J.Sosa (4-45-L), J.Colome (4)"
26,26,27,27,Apr 30,@,MIN,"L,5-8",8.0,8,8,8,0,4,6,1,2,5.79,38,115,68,2.0,0.0,0,0,32,2,1,1,0,0,0,1,4,Gerry Davis,"S.McClung (4-19-L), N.Bierbrodt (3), T.Harper (4), M.Venafro (3)"
27,28,28,28,May 1,@,MIN,"L,5-6",12.1,15,6,5,1,7,3,1,2,5.68,56,206,117,0.0,0.0,0,1,45,5,1,2,1,1,0,2,5,Ed Rapuano,"S.Parris (4-47), V.Zambrano (4-H), M.Venafro (0-H), L.Carter (4-BSv), T.Harper (0-L)"
28,29,29,29,May 2,@,DET,"W,2-0",9.0,1,0,0,0,1,6,0,0,5.49,29,106,72,,,0,0,28,0,0,0,0,0,2,1,1,Terry Craft,J.Kennedy (4-90-W)
29,30,30,30,May 3,@,DET,"W,8-6",10.0,12,6,6,0,2,6,3,1,5.49,44,171,106,5.0,2.0,0,1,41,0,0,0,0,0,0,0,5,Fieldin Culbreth,"D.Brazelton (99-48), T.Harper (1-H), M.Venafro (1-H), L.Carter (1-BSv), A.Levine (5-W)"
30,31,31,31,May 4,@,DET,"L,3-7",8.0,11,7,5,2,2,4,1,0,5.49,35,112,69,0.0,0.0,0,0,31,3,0,0,1,1,1,2,2,Marty Foster,"J.Sosa (4-45-L), V.Zambrano (2)"
31,32,32,32,May 6,,MIN,"L,3-7",9.0,12,7,7,0,1,5,4,1,5.54,41,158,100,0.0,0.0,1,0,39,1,0,0,0,0,0,0,4,Jerry Meals,"S.Parris (4-23-L), N.Bierbrodt (5), J.Colome (6), V.Zambrano (1)"
32,33,33,33,May 7,,MIN,"L,6-11",9.0,17,11,11,0,3,2,2,0,5.7,46,146,98,2.0,1.0,2,0,42,2,0,0,0,1,1,2,4,Gary Darling,"J.Kennedy (4--5-L), M.Venafro (3), T.Harper (3), A.Levine (3)"
33,34,34,34,May 8,,MIN,"L,0-5",9.0,8,5,3,2,3,3,0,0,5.62,36,125,74,0.0,0.0,0,0,33,3,0,0,0,0,2,3,3,Larry Vanover,"D.Brazelton (4-50-L), V.Zambrano (1), L.Carter (4)"
34,35,35,35,May 9,,DET,"W,2-0",9.0,2,0,0,0,6,6,0,1,5.46,35,141,83,3.0,0.0,0,0,27,0,0,0,1,0,1,2,4,Larry Poncino,"J.Parque (30-68-W), T.Harper (1-H), J.Rocker (99), L.Carter (0-Sv)"
35,36,36,36,May 10,,DET,"W,3-1",9.0,7,1,1,0,2,11,1,0,5.34,36,141,89,0.0,0.0,0,0,32,2,0,0,2,0,0,0,3,Phil Cuzzi,"S.McClung (9-70-W), A.Levine (2-H), L.Carter (0-Sv)"
36,37,37,37,May 11,,DET,"L,2-9",9.0,15,9,8,1,5,5,1,0,5.41,44,143,89,3.0,2.0,1,0,37,1,2,0,0,2,0,1,3,Jerry Crawford,"J.Sosa (6-19-L), N.Bierbrodt (4), J.Colome (4)"
37,38,38,38,May 13,@,TOR,"W,7-5",9.0,10,5,5,0,3,9,2,0,5.4,39,148,98,0.0,0.0,0,0,36,3,0,0,0,0,0,1,3,Tony Randazzo,"J.Kennedy (5-48-W), T.Harper (3-H), L.Carter (2-Sv)"
38,39,39,39,May 14,@,TOR,"L,6-7",8.0,11,7,7,0,3,3,2,2,5.46,39,145,85,0.0,0.0,0,0,33,3,1,0,0,1,0,1,4,Lance Barksdale,"D.Brazelton (5-35-L), M.Venafro (6), J.Rocker (4), A.Levine (3)"
39,40,40,40,May 15,@,TOR,"W,9-5",9.0,9,5,5,0,5,9,1,0,5.44,40,147,91,4.0,2.0,0,0,34,1,0,0,0,1,0,1,4,Ted Barrett,"J.Parque (5-24), J.Colome (3-W), T.Harper (1-H), L.Carter (1)"
40,41,41,41,May 16,@,BAL,"W,5-1",9.0,7,1,1,0,6,5,0,1,5.34,38,142,84,1.0,0.0,0,1,30,1,0,0,0,1,0,1,2,Sam Holbrook,"S.McClung (5-58-W), A.Levine (1)"
41,42,42,42,May 17,@,BAL,"L,0-2",8.0,5,2,2,0,2,9,0,0,5.27,31,128,83,0.0,0.0,0,0,28,2,0,1,1,0,0,0,2,Randy Marsh,"G.Gonzalez (99-66-L), B.Backe (99)"
42,43,43,43,May 18,@,BAL,"W,9-8",9.0,14,8,5,3,1,3,3,0,5.27,41,120,83,4.0,1.0,1,1,38,1,0,0,1,1,1,0,3,Angel Hernandez,"J.Kennedy (4-26), T.Harper (2), L.Carter (2-BW)"
43,44,44,44,May 20,@,TEX,"L,2-5",8.0,7,5,5,0,3,1,2,0,5.27,32,133,84,1.0,0.0,0,0,28,1,0,0,0,1,0,2,3,Chuck Meriwether,"D.Brazelton (5-40-L), N.Bierbrodt (8), J.Colome (4)"
44,45,45,45,May 21,@,TEX,"L,7-8",8.0,13,8,8,0,1,9,1,0,5.35,38,128,87,4.0,0.0,0,0,36,1,2,1,1,0,0,0,4,Gary Cederstrom,"J.Parque (5-24), B.Backe (3), J.Colome (0-L), A.Levine (4)"
45,46,46,46,May 22,@,TEX,"L,8-10",8.0,13,10,10,0,4,4,3,0,5.46,38,128,77,3.0,2.0,0,0,33,1,0,0,1,0,0,3,4,Mark Wegner,"S.McClung (5-16), N.Bierbrodt (1), T.Harper (3-L), A.Levine (0)"
46,47,47,47,May 23,@,ANA,"W,3-1",9.0,4,1,1,0,6,9,1,0,5.37,37,158,92,0.0,0.0,1,0,31,0,0,0,0,0,0,0,4,Greg Gibson,"G.Gonzalez (5-64-W), J.Colome (1-H), M.Venafro (8-H), L.Carter (4-Sv)"
